,Distribute,Modify,Commercial Use,Hold Liable,Include Copyright,Include License,Sublicense,Use Trademark,Private Use,Disclose Source,State Changes,Place Warranty,Include Notice,Include Original,Give Credit,Use Patent Claims,Rename,Relicense,Contact Author,Include Install Instructions,Compensate for Damages,Statically Link,Pay Above Use Threshold
WXwindows license,1,1,1,2,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
YPL-1.1,1,1,1,2,3,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ZPL-2.1,1,1,1,2,3,3,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
SPL-1.0,1,1,1,2,3,3,1,2,0,3,3,1,3,0,3,0,0,0,0,0,0,0,0
OPL-1.0,1,1,1,2,3,3,1,2,1,3,3,1,3,0,3,0,0,0,0,0,0,0,0
RPSL-1.0,1,1,1,2,3,3,1,2,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0
RPL-1.5,1,1,1,2,3,3,1,2,0,3,3,1,3,0,3,0,3,0,0,0,0,0,0
COIL-1.0,1,1,1,2,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apache-1.1,1,1,1,2,3,3,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Apache-1.0,1,1,1,2,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CECILL-1.0,1,1,1,1,3,3,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0
CECILL-1.1,1,1,1,1,3,3,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0
CECILL-2.0,1,1,1,1,3,3,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0
AML,1,1,1,2,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZPL-1.1,1,1,1,2,3,3,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ZPL-2.0,1,1,1,2,3,3,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
MPL-1.0,1,1,1,2,3,3,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0
